TMI Schedule for YSSY on 2026-03-25
Commences: 08:00, Ends: 09:00
  TMN21   : 08:01 - 16R
  ANZ248  : 08:02 - 16L
  QFA477  : 08:03 - 16R
  JST611  : 08:05 - 16R
  JST822  : 08:07 - 16R
  QFA139  : 08:08 - 16L
  VOZ882  : 08:10 - 16R
  RXA6783 : 08:11 - 16L
  VOZ981  : 08:13 - 16R
  QLK34D  : 08:14 - 16L
  QLK227D : 08:17 - 16L
  ANZ224  : 08:17 - 16R
  VOZ973  : 08:20 - 16L
  QFA485  : 08:20 - 16R
  QFA487  : 08:22 - 16R
  QLK209D : 08:23 - 16L
  VOZ670  : 08:26 - 16R
  QLK166D : 08:28 - 16R
  QLK108D : 08:30 - 16L
  QFA546  : 08:32 - 16R
  QLK44D  : 08:33 - 16L
  QFA653  : 08:34 - 16R
  QLK1990 : 08:36 - 16L
  QFA149  : 08:37 - 16R
  RXA6588 : 08:39 - 16L
  ANZ112  : 08:41 - 16R
  RXA6477 : 08:42 - 16L
  JST416  : 08:43 - 16R
  QLK182D : 08:45 - 16R
  QLK459D : 08:47 - 16R
  UAE9616 : 08:47 - 16L
  QLK62D  : 08:50 - 16L
  QLK13D  : 08:50 - 16R
  QLK8D   : 08:52 - 16R
  VOZ886  : 08:53 - 16L
  FDX77   : 08:54 - 16R
  UAE9363 : 08:56 - 16R
Excluded:
  QFA598
Cost: 15
